reference,category,name,description,material,season,made_in,gender,color,size_label,age_label,price_eur,cost_eur,stock_quantity,weight_grams,image_url
DEB-ETE-F,Fille,Débardeur fille coton,"Débardeur fille en coton peigné, bretelles fines et coupe ajustée.",100 % coton,Printemps-été,Portugal,fille,Corail,6 ans,5-6 ans,"12,90","4,80",12,75,
JUP-TUTU,Fille,Jupe tutu tulle,"Jupe tutu fille en plusieurs couches de tulle doux. Parfaite pour les fêtes et le quotidien.",100 % polyester tulle, doublure coton,Toute saison,France,fille,Rose poudré,3 ans,2-3 ans,"24,90","9,50",8,120,/products/jupe-tutu-tulle.svg
JUP-TUTU,Fille,Jupe tutu tulle,"Jupe tutu fille en plusieurs couches de tulle doux. Parfaite pour les fêtes et le quotidien.",100 % polyester tulle, doublure coton,Toute saison,France,fille,Rose poudré,4 ans,3-4 ans,"26,90","10,00",7,125,
LEG-RIB-F,Fille,Legging coton côtelé,"Legging fille confortable, taille élastiquée et chevilles ajustées.",95 % coton, 5 % élasthanne,Automne-hiver,Turquie,fille,Marine,4 ans,3-4 ans,"16,90","6,50",10,110,/products/legging-coton-cotele.svg
LEG-RIB-F,Fille,Legging coton côtelé,"Legging fille confortable, taille élastiquée et chevilles ajustées.",95 % coton, 5 % élasthanne,Automne-hiver,Turquie,fille,Marine,6 ans,5-6 ans,"17,90","6,80",9,115,
SWEAT-CAP-F,Fille,Sweat capuche fille,"Sweat fille confortable pour l''école et le week-end. Intérieur gratté tout doux.",80 % coton, 20 % polyester,Automne-hiver,Turquie,fille,Rose poudré,6 ans,5-6 ans,"24,90","10,00",7,220,/products/sweat-capuche-fille-molleton.svg
SWEAT-CAP-F,Fille,Sweat capuche fille,"Sweat fille confortable pour l''école et le week-end. Intérieur gratté tout doux.",80 % coton, 20 % polyester,Automne-hiver,Turquie,fille,Rose poudré,8 ans,7-8 ans,"25,90","10,50",5,240,
BLOUSE-LIN,Fille,Blouse lin léger,"Blouse légère en lin et coton, idéale pour les journées chaudes.",55 % lin, 45 % coton,Printemps-été,Portugal,fille,Sable,5 ans,4-5 ans,"28,90","11,50",5,130,/products/blouse-lin-leger-fille.svg
BLOUSE-LIN,Fille,Blouse lin léger,"Blouse légère en lin et coton, idéale pour les journées chaudes.",55 % lin, 45 % coton,Printemps-été,Portugal,fille,Sable,7 ans,6-7 ans,"30,90","12,00",4,140,
TSH-DINO-G,Garçon,T-shirt dinosaure,"T-shirt garçon en coton peigné, imprimé résistant aux lavages.",100 % coton,Printemps-été,Bangladesh,garcon,Vert sauge,4 ans,3-4 ans,"18,90","7,00",12,90,/products/tshirt-dinosaure-garcon.svg
TSH-DINO-G,Garçon,T-shirt dinosaure,"T-shirt garçon en coton peigné, imprimé résistant aux lavages.",100 % coton,Printemps-été,Bangladesh,garcon,Vert sauge,6 ans,5-6 ans,"19,90","7,30",10,100,
PANT-JOG-G,Garçon,Pantalon jogger garçon,"Pantalon jogger garçon, coupe ample et chevilles resserrées.",95 % coton, 5 % élasthanne,Toute saison,Turquie,garcon,Gris chiné,6 ans,5-6 ans,"22,90","9,00",8,200,/products/pantalon-jogger-garcon.svg
PANT-JOG-G,Garçon,Pantalon jogger garçon,"Pantalon jogger garçon, coupe ample et chevilles resserrées.",95 % coton, 5 % élasthanne,Toute saison,Turquie,garcon,Gris chiné,8 ans,7-8 ans,"23,90","9,30",6,210,
SHORT-SURF-G,Garçon,Short surf garçon,"Short garçon confortable pour jouer dehors. Séchage rapide.",100 % coton,Printemps-été,Bangladesh,garcon,Bleu,6 ans,5-6 ans,"14,90","5,50",11,120,/products/short-surf-garcon.svg
SHORT-SURF-G,Garçon,Short surf garçon,"Short garçon confortable pour jouer dehors. Séchage rapide.",100 % coton,Printemps-été,Bangladesh,garcon,Bleu,8 ans,7-8 ans,"15,90","5,80",9,130,
POLO-MARIN-G,Garçon,Polo marin garçon,"Polo garçon en piqué de coton, rayures marines intemporelles.",100 % coton piqué,Printemps-été,Portugal,garcon,Marine/blanc,5 ans,4-5 ans,"21,90","8,50",7,130,/products/polo-marin-garcon.svg
POLO-MARIN-G,Garçon,Polo marin garçon,"Polo garçon en piqué de coton, rayures marines intemporelles.",100 % coton piqué,Printemps-été,Portugal,garcon,Marine/blanc,7 ans,6-7 ans,"22,90","8,80",6,140,
PYJ-ETOILES,Pyjamas,Pyjama deux pièces étoiles,"Pyjama doux pour des nuits paisibles. Coton certifié Oeko-Tex.",100 % coton,Automne-hiver,Portugal,mixte,Bleu nuit,4 ans,3-4 ans,"26,90","10,50",9,250,/products/pyjama-etoiles-coton.svg
PYJ-ETOILES,Pyjamas,Pyjama deux pièces étoiles,"Pyjama doux pour des nuits paisibles. Coton certifié Oeko-Tex.",100 % coton,Automne-hiver,Portugal,mixte,Bleu nuit,6 ans,5-6 ans,"27,90","10,80",8,260,
PYJ-COMBI-H,Pyjamas,Pyjama combi hiver,"Pyjama combi bien chaud pour l''hiver. Ouverture pressions devant.",100 % coton gratté,Automne-hiver,France,mixte,Crème,12 mois,9-12 mois,"31,90","12,50",6,320,/products/pyjama-combi-hiver.svg
PYJ-COMBI-H,Pyjamas,Pyjama combi hiver,"Pyjama combi bien chaud pour l''hiver. Ouverture pressions devant.",100 % coton gratté,Automne-hiver,France,mixte,Crème,18 mois,12-18 mois,"32,90","12,80",5,340,
PYJ-FLEURS-F,Pyjamas,Pyjama fille fleurs,"Pyjama fille doux avec imprimé floral. T-shirt et pantalon assortis.",100 % coton,Printemps-été,Portugal,fille,Rose fleuri,4 ans,3-4 ans,"25,90","10,00",7,240,/products/pyjama-fille-fleurs.svg
PYJ-FLEURS-F,Pyjamas,Pyjama fille fleurs,"Pyjama fille doux avec imprimé floral. T-shirt et pantalon assortis.",100 % coton,Printemps-été,Portugal,fille,Rose fleuri,6 ans,5-6 ans,"26,90","10,30",6,250,
CHAUS-LOT3,Accessoires,Lot chaussettes coton x3,"Chaussettes douces anti-glisse, lot de 3 coloris assortis.",75 % coton, 23 % polyamide, 2 % élasthanne,Toute saison,France,mixte,Assorti,12-18 mois,12-18 mois,"9,90","3,50",20,60,/products/chaussettes-coton-lot3.svg
CHAUS-LOT3,Accessoires,Lot chaussettes coton x3,"Chaussettes douces anti-glisse, lot de 3 coloris assortis.",75 % coton, 23 % polyamide, 2 % élasthanne,Toute saison,France,mixte,Assorti,2-3 ans,2-3 ans,"10,90","3,80",18,65,
BONNET-MAIL,Accessoires,Bonnet maille doux,"Bonnet doux pour protéger les oreilles. Maille extensible et confortable.",100 % coton,Automne-hiver,France,mixte,Rose,0-12 mois,0-12 mois,"12,90","4,80",15,45,/products/bonnet-maille-doux.svg
BONNET-MAIL,Accessoires,Bonnet maille doux,"Bonnet doux pour protéger les oreilles. Maille extensible et confortable.",100 % coton,Automne-hiver,France,mixte,Rose,1-3 ans,1-3 ans,"13,90","5,00",12,50,
CACHE-COU-Z,Accessoires,Cache-cou zippé polaire,"Cache-cou chaud et pratique pour les sorties hivernales. Doublure polaire douce.",100 % polyester polaire,Automne-hiver,France,mixte,Bleu glacier,2-4 ans,2-4 ans,"14,90","5,50",10,55,/products/cache-cou-zippe-polaire.svg
CACHE-COU-Z,Accessoires,Cache-cou zippé polaire,"Cache-cou chaud et pratique pour les sorties hivernales. Doublure polaire douce.",100 % polyester polaire,Automne-hiver,France,mixte,Bleu glacier,4-6 ans,4-6 ans,"15,90","5,80",9,60,
